id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Neon Pulse,Aurora Line,pop,happy,0.73,119,0.80,0.85,0.19
2,Velvet Canvas,Night Signal,pop,chill,0.63,112,0.74,0.77,0.26
3,Silver Horizon,Static Bloom,pop,intense,0.81,128,0.68,0.83,0.16
4,Golden Echo,Glass Motel,pop,relaxed,0.66,106,0.79,0.74,0.25
5,Lunar Boulevard,Aurora Line,pop,moody,0.76,119,0.68,0.78,0.21
6,Velvet Horizon,Paper Atlas,lofi,chill,0.34,77,0.58,0.54,0.82
7,Silver Echo,River Theory,lofi,intense,0.43,93,0.48,0.63,0.76
8,Golden Boulevard,Nova Harbor,lofi,relaxed,0.28,71,0.59,0.55,0.85
9,Lunar Circuit,City Script,lofi,moody,0.38,77,0.48,0.58,0.81
10,Midnight Letters,Paper Atlas,lofi,focused,0.38,84,0.57,0.59,0.79
11,Silver Boulevard,Night Signal,rock,intense,0.94,158,0.45,0.68,0.07
12,Golden Circuit,Static Bloom,rock,relaxed,0.79,136,0.56,0.59,0.16
13,Lunar Letters,Glass Motel,rock,moody,0.80,142,0.40,0.65,0.17
14,Midnight Memory,Aurora Line,rock,focused,0.80,149,0.49,0.67,0.15
15,Solar Skyline,Night Signal,rock,reflective,0.75,135,0.46,0.58,0.20
16,Golden Letters,River Theory,ambient,relaxed,0.21,58,0.64,0.36,0.94
17,Lunar Memory,Nova Harbor,ambient,moody,0.31,61,0.53,0.40,0.91
18,Midnight Skyline,City Script,ambient,focused,0.31,61,0.61,0.41,0.89
19,Solar Rhythm,Paper Atlas,ambient,reflective,0.17,58,0.54,0.35,0.98
20,Crystal Pulse,River Theory,ambient,confident,0.32,70,0.64,0.47,0.87
21,Lunar Skyline,Static Bloom,jazz,moody,0.39,92,0.55,0.54,0.77
22,Midnight Rhythm,Glass Motel,jazz,focused,0.39,92,0.64,0.55,0.74
23,Solar Pulse,Aurora Line,jazz,reflective,0.34,85,0.61,0.47,0.79
24,Crystal Canvas,Night Signal,jazz,confident,0.49,101,0.71,0.58,0.68
25,Urban Horizon,Static Bloom,jazz,nostalgic,0.32,87,0.61,0.52,0.81
26,Midnight Pulse,Nova Harbor,synthwave,focused,0.76,111,0.56,0.73,0.24
27,Solar Canvas,City Script,synthwave,reflective,0.62,97,0.48,0.67,0.34
28,Crystal Horizon,Paper Atlas,synthwave,confident,0.77,120,0.59,0.78,0.23
29,Urban Echo,River Theory,synthwave,nostalgic,0.69,106,0.54,0.70,0.30
30,Wild Boulevard,Nova Harbor,synthwave,euphoric,0.87,122,0.65,0.78,0.17
31,Solar Horizon,Glass Motel,indie pop,reflective,0.61,108,0.68,0.68,0.39
32,Crystal Echo,Aurora Line,indie pop,confident,0.76,131,0.78,0.80,0.28
33,Urban Boulevard,Night Signal,indie pop,nostalgic,0.59,117,0.68,0.74,0.41
34,Wild Circuit,Static Bloom,indie pop,euphoric,0.77,133,0.80,0.82,0.28
35,Neon Letters,Glass Motel,indie pop,happy,0.74,123,0.80,0.80,0.29
36,Crystal Boulevard,City Script,hip hop,confident,0.74,101,0.67,0.86,0.14
37,Urban Circuit,Paper Atlas,hip hop,nostalgic,0.66,94,0.62,0.77,0.22
38,Wild Letters,River Theory,hip hop,euphoric,0.84,110,0.73,0.86,0.09
39,Neon Memory,Nova Harbor,hip hop,happy,0.72,100,0.68,0.86,0.15
40,Velvet Skyline,City Script,hip hop,chill,0.62,93,0.62,0.77,0.22
41,Urban Letters,Aurora Line,house,nostalgic,0.78,123,0.74,0.86,0.18
42,Wild Memory,Night Signal,house,euphoric,0.96,139,0.85,0.94,0.05
43,Neon Skyline,Static Bloom,house,happy,0.93,129,0.85,0.91,0.06
44,Velvet Rhythm,Glass Motel,house,chill,0.83,115,0.79,0.83,0.13
45,Silver Pulse,Aurora Line,house,intense,0.92,138,0.69,0.92,0.08
46,Wild Skyline,Paper Atlas,classical,euphoric,0.30,82,0.53,0.32,0.91
47,Neon Rhythm,River Theory,classical,happy,0.27,72,0.53,0.30,0.92
48,Velvet Pulse,Nova Harbor,classical,chill,0.17,58,0.47,0.21,0.98
49,Silver Canvas,City Script,classical,intense,0.35,81,0.41,0.27,0.89
50,Golden Horizon,Paper Atlas,classical,relaxed,0.20,59,0.52,0.20,0.98
